# -*- coding: utf-8 -*-

# A datafile created by Gustav!
# 
# Experiment: mild-2
# 
# Vocoded speech in spatially-separated speech or noise maskers.
# 
# $comments
# 

S,Trial,Date,Block,Condition,masker,Soundfile,Times
505,72,2024-02-14,72,8,side=l_masker=speech_itd=0_ild=0_az=20_mag=0_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=0_az=20_mag=0_control=0/3_side=l_masker=speech_itd=0_ild=0_az=20_mag=0_control=0.wav,
505,73,2024-02-14,73,13,side=r_masker=speech_itd=0_ild=0_az=10_mag=1_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=10_mag=1_control=0/4_side=r_masker=speech_itd=0_ild=0_az=10_mag=1_control=0.wav,
505,74,2024-02-14,74,3,side=r_masker=speech_itd=500_ild=0_az=0_mag=0_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=500_ild=0_az=0_mag=0_control=0/4_side=r_masker=speech_itd=500_ild=0_az=0_mag=0_control=0.wav,
505,75,2024-02-14,75,10,side=l_masker=speech_itd=500_ild=0_az=0_mag=0_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=500_ild=0_az=0_mag=0_control=0/4_side=l_masker=speech_itd=500_ild=0_az=0_mag=0_control=0.wav,
505,76,2024-02-14,76,9,side=l_masker=speech_itd=0_ild=0_az=10_mag=1_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=0_az=10_mag=1_control=0/4_side=l_masker=speech_itd=0_ild=0_az=10_mag=1_control=0.wav,
505,77,2024-02-14,77,18,side=r_masker=speech_itd=50_ild=0_az=0_mag=0_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=50_ild=0_az=0_mag=0_control=0/4_side=r_masker=speech_itd=50_ild=0_az=0_mag=0_control=0.wav,
505,78,2024-02-14,78,16,side=l_masker=speech_itd=50_ild=0_az=0_mag=0_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=50_ild=0_az=0_mag=0_control=0/4_side=l_masker=speech_itd=50_ild=0_az=0_mag=0_control=0.wav,
505,79,2024-02-14,79,14,side=l_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0/4_side=l_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0.wav,
505,80,2024-02-14,80,17,side=r_masker=speech_itd=0_ild=0_az=20_mag=0_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=20_mag=0_control=0/4_side=r_masker=speech_itd=0_ild=0_az=20_mag=0_control=0.wav,
505,81,2024-02-14,81,4,side=l_masker=speech_itd=0_ild=0_az=30_mag=1_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=0_az=30_mag=1_control=0/4_side=l_masker=speech_itd=0_ild=0_az=30_mag=1_control=0.wav,
505,82,2024-02-14,82,15,side=r_masker=speech_itd=0_ild=0_az=10_mag=0_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=10_mag=0_control=0/4_side=r_masker=speech_itd=0_ild=0_az=10_mag=0_control=0.wav,
505,83,2024-02-14,83,12,side=r_masker=speech_itd=0_ild=0_az=30_mag=0_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=30_mag=0_control=0/4_side=r_masker=speech_itd=0_ild=0_az=30_mag=0_control=0.wav,
505,84,2024-02-14,84,6,side=r_masker=speech_itd=0_ild=0_az=30_mag=1_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=30_mag=1_control=0/4_side=r_masker=speech_itd=0_ild=0_az=30_mag=1_control=0.wav,
505,85,2024-02-14,85,1,side=l_masker=speech_itd=0_ild=0_az=20_mag=1_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=0_az=20_mag=1_control=0/4_side=l_masker=speech_itd=0_ild=0_az=20_mag=1_control=0.wav,
505,86,2024-02-14,86,5,side=l_masker=speech_itd=0_ild=0_az=30_mag=0_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=0_az=30_mag=0_control=0/4_side=l_masker=speech_itd=0_ild=0_az=30_mag=0_control=0.wav,
505,87,2024-02-14,87,11,side=r_masker=speech_itd=0_ild=0_az=20_mag=1_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=20_mag=1_control=0/4_side=r_masker=speech_itd=0_ild=0_az=20_mag=1_control=0.wav,
505,88,2024-02-14,88,2,side=r_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0/4_side=r_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0.wav,
